id,link_id,user_id,head_office_id,created_at,updated_at
1,6,1,1,2024-10-01 19:08:44,2024-10-01 19:08:44
2,6,1,1,2024-10-02 11:25:02,2024-10-02 11:25:02
3,8,1,1,2024-10-02 18:54:37,2024-10-02 18:54:37
