id,head_office_user_id,be_spoke_form_id,location_id,is_active,created_at,updated_at
9,6,5,"[""1"",""2"",""3"",""6"",""7"",""8"",""9"",""10"",""11"",""12"",""13"",""14"",""15"",""16"",""17"",""18"",""19"",""20"",""21"",""22"",""23"",""24"",""25"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34""]",1,2024-08-13 14:40:33,2024-08-13 14:40:33
21,65,179,"[""151_group""]",1,2025-03-29 16:56:09,2025-03-29 16:56:16
