id,name,created_at,updated_at
1,None,2023-06-17 18:02:10,2023-06-17 18:02:10
2,Branch Manager,2023-06-17 18:02:10,2023-06-17 18:02:10
3,Accuracy Checker,2023-06-17 18:02:10,2023-06-17 18:02:10
4,Superintendent,2023-06-17 18:02:10,2023-06-17 18:02:10
5,Locum,2023-06-17 18:02:10,2023-06-17 18:02:10
6,Relief,2023-06-17 18:02:10,2023-06-17 18:02:10
7,Independent Prescriber,2023-06-17 18:02:10,2023-06-17 18:02:10
